Question	Answer	Source	Metadata	SuggestedQuestions
what about Sikh women?	"Women are considered completely equal to men and have the same rights and obligations. As such, Sikh women follow the same religious code of conduct. The Sikh Gurus were well before their time and declared that gender discrimination was wrong and spoke out against practices such as ritual impurity, the burning of widows (‘Sati’) and mandatory veiling of women."	Gurdwara Knowledge Base.docx		[]
but i know Sikhs who do not wear turbans or keep their hair?	Just as in any community there are different levels of observance. Many people who self-identify as Sikh do not keep the Sikh articles of faith. That is a personal choice and each person progresses on their spiritual journey at a different pace.	Gurdwara Knowledge Base.docx		[]
what is the traditional Sikh greeting? How Do I greet people at Gurdwara? How do Sikhs greet?	The traditional Sikh greeting is “Vahiguru jee ka Khalsa Vahiguru jee kee fateh” meaning the Khalsa belongs to God and all victory belongs to God. A shorter greeting that is often used is “Sat Sri Akal” meaning Timeless God is Truth.	Gurdwara Knowledge Base.docx		[]
what is the Sikh attitude towards non-Sikhs? What is the attitude of a Sikh towards other people?	"Sikhs believe that all persons are equal. Freedom of religion and conscience are core Sikh values. Everyone has the right to believe in and practice the faith of their choice and no one is condemned to hell simply because of their religion. The Sikh Gurus taught that loving God is the greatest religion of all and people must be judged on their actions, not on the labels of race, nationality or caste."	Gurdwara Knowledge Base.docx		[]
what do Sikhs believe about the afterlife?	"The focus of the Sikh faith is to find happiness and unite with God in this life through meditation on naam (the name of God). The soul continues to be reincarnated until it becomes one with God. Sikhs also believe in the doctrine of karma, whereby each action has a reaction and each person must bear the consequences of their own deeds."	Gurdwara Knowledge Base.docx		[]
How did Guru Gobind Singh create the Khalsa?	"Guru Gobind Singh summoned the entire Sikh community to Anandpur Sahib in Punjab on Vaisakhi Day. During the large gathering, he called for a Sikh who would be willing to sacrifice their head for the faith. The call was answered by five Sikhs who were led, one by one, into a tent. The five Sikhs who stepped forward are known as the five beloved ones, or Panj Pyare:\n\n*   Bhai Daya Singh\n*   Bhai Dharam Singh\n*   Bhai Himmat Singh\n*   Bhai Mokham Singh\n*   Bhai Sahib Singh"	Gurdwara Knowledge Base.docx		"[{""clusterHead"":""Who was bhai mardana?"",""totalAutoSuggestedCount"":1,""totalUserSuggestedCount"":0,""alternateQuestionList"":[{""question"":""Who was bhai mardana?"",""autoSuggestedCount"":1,""userSuggestedCount"":0}]}]"
what is a Nagar Keertan?	"The word nagar means town and keertan is singing of hymns. A nagar keertan refers to a Sikh parade that is led by the Punj Pyare (the five beloved ones, who represent the first five Sikh to have been initiated) and the Sri Guru Granth Sahib or the Sikh scripture, which is installed in a decorated float. The congregation follows the parade while singing hymns and verses from the Sri Guru Granth Sahib, along with displays of the Sikh martial art gatka and distributing free food (langar). The nagar keertan begins and concludes with a religious service and the serving of langar."	Gurdwara Knowledge Base.docx		[]
What is the significance of the orange and yellow colors?	"Yellow and orange are the traditional colours of Vaisakhi. They represent the spirit of rebirth and sacrifice of the Punj Pyare but are also a colour of joy and celebration. When Vaisakhi is celebrated in Punjab, the golden yellow wheat fields are ready to be harvested."	Gurdwara Knowledge Base.docx		[]
Is there any special dress i should wear?	The only requirements to visit a Sikh gurdwara are that visitors take off their shoes and cover their heads. Any intoxicants such as tobacco products or liquor are also not permitted on the premises.	Gurdwara Knowledge Base.docx		[]
Who wears the turban and why?	"Practicing Sikhs choose to wear the turban as an outward reminder of their personal commitments to God. Nearly every American you see wearing a turban is a Sikh. Each carefully wraps the turban cloth around his or her neatly-combed long hair each morning, knowing that this emblem of peace, righteousness, and social responsibility is often misunderstood by others. Despite social stigmas, Sikhs who wear the turban choose to be recognizable, putting their ego aside to wear a constant reminder of their responsibility to serve others and follow God’s word."	Gurdwara Knowledge Base.docx		[]
Who are Sikh Gurus and why are they important?	"Sikh Gurus are spiritual teachers who share wisdom and guidance from God. The first Guru was Guru Nanak, founder of Sikhism in the late 1400s. Nine subsequent Gurus built on Guru Nanak’s foundational revelations through the early 1700s, when Guru Gobind Singh completed the compilation of the Sikh holy book and declared this sacred text the final Guru—Guru Granth Sahib. Gurus are central to Sikh religion because through their teachings, Sikhs receive guidance and wisdom to draw nearer to God. Learn more about the Gurus."	Gurdwara Knowledge Base.docx		[]
How are women treated in the Sikh community? How women are treated at Gurdwara?	"Standing up for women’s independence and status in the community was a core focus of Guru Nanak, the founder of Sikhism. From the beginning, the Sikh religion has emphasized the role of women as equal, valuable contributors in every sphere of life. Sikh women have the same rights and responsibilities as men, and are welcome to take on all leadership roles within Sikh religious services and communities."	Gurdwara Knowledge Base.docx		[]
What text do Sikhs follow and where did it come from? What are shabads?	"The Sikh holy text is the Guru Granth Sahib. It is the repository of all Sikh spiritual heritage, written in Punjabi by the Gurus who led Sikhism in the early days of the religion, beginning in late 1400s. The book is addressed as Guru, because it is an authoritative spiritual guide. Granth means “large tome or book,” and Sahib denotes its sacred status. Its hymns are written in poetic form, called shabads, and are sung and recited by Sikhs as the source of both guidance and inspiration for their lives. There are 3,000 shabads in the Guru Granth Sahib, all recorded directly by the Sikh Gurus."	Gurdwara Knowledge Base.docx		[]
How do Sikhs view God? How do I view God?	"Sikhs believe in one supreme God who is the creator of all things, whom they address as Waheguru. Described in Sikh scripture, “God is One. He is the Supreme Truth. He the Creator, is without fear and without hate. He is immortal. He is neither born and nor does He die. By Guru's grace He shall be met. Chant and meditate on His Name. In the beginning, He was the Truth. Throughout the ages, He has been the Truth. He is the Truth now and He shall be the Truth forever."" Sikhs believe God loves all people and is always present, and our purpose on Earth is to draw closer to God."	Gurdwara Knowledge Base.docx		[]
Why do so many Sikhs have the last name Singh or Kaur?	"The Sikh Gurus sought to abolish the Indian caste system that assigned value and rights to individuals based on the families they were born into. As part of the movement to end caste discrimination and promote equality among all humans, followers of Sikhism were encouraged to adopt common last names, leaving no identifiable differences between individuals from rich or poor backgrounds. Men were instructed to adopt the last name Singh, meaning lion, and women were encouraged to use Kaur, meaning princess. The use of Kaur, as opposed to adopting family names in marriage, promotes women as individuals with value and identities existing independently of their relationships with men."	Gurdwara Knowledge Base.docx		[]
Why don’t Sikhs cut their hair?	"Sikhs refrain from cutting or removing our hair out of a deep personal devotion to God. We believe that our bodies were made by God, and we must be willing to accept God’s gift without altering it. Sikhs take great care to keep our long hair clean and tidy using a comb called a kangha. The kangha is carried with Sikhs always and represents the importance of living with cleanliness and discipline."	Gurdwara Knowledge Base.docx		[]
Where do Sikhs worship?	"The Sikh version of a church, temple, mosque, or synagogue is a gurdwara. The gurdwara is a central gathering place for those in the Sikh community to pray, sing, learn, and connect. (visit your local gurdwara here)! The main worship area is adorned with colorful, ornate fabrics and rugs, featuring the holy book prominently at the front of the room. Another important space in the gurdwara is the large langar, or “free kitchen,” where meals are served to Sikhs and non-Sikhs alike following all services in a spirit of communal nourishment. Gurdwara buildings feature four doors facing each of the cardinal directions, symbolically welcoming people from every corner of the world."	Gurdwara Knowledge Base.docx		[]
How many Sikhs are in Pakistan and where do they live?	"Sikhs traveled to Pakistan from India beginning in the late 1940s in search of democracy and opportunities to work hard to support their families. Today, there are many Sikh Pakistanis, most of whom live in major cities. There are many gurdwaras, Sikh houses of worship, in the Pakistan, situated in big cities like Lahore and small cities such as our Gurdwara in Hasan Abdal."	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe in heaven and hell?	"Sikhs do not believe in heaven or hell as destinations—for Sikhs, heaven can be experienced by drawing near to God during life, while the suffering and pain caused by ego is considered hell on earth. In Sikhism, spiritual acts are positive experiences with affects felt on earth and after death, rather than sacrifices made in order to collect a reward that is waiting until after death. The main purpose of life, according to Sikhism, is to become one with the God. This is pursued by a life focused on remembering the Creator always, earning an honest living as a householder, and sharing one’s abundance with the less fortunate. In death, we believe we become one with God and the universe."	Gurdwara Knowledge Base.docx		[]
What is the definition of a Sikh?	"The most widely accepted definition of a Sikh comes from the Sikh code of conduct, the Rehat Maryada. Originally written in Punjabi, it is translated as:\n“A Sikh is any woman or man whose faith consists of belief in:One God,The ten Gurus, from Guru Nanak to Guru Gobind Singh,The Guru Granth Sahib,The utterances and teachings of the ten Gurus,"	Gurdwara Knowledge Base.docx		[]
"Who has faith in and aspires to take Amrit, initiation ceremony into the Khalsa,"	"And who does not owe allegiance to any other religion.”As with most religions, however, a devotee cannot be confined to a definition."	Gurdwara Knowledge Base.docx		[]
Why don’t people know about Sikhism even though it is the 5th largest world religion?	"There are several different reasons. First, Sikhism, compared to other world traditions, is relatively young. The faith first emerged in 1469. Second, since many people are not aware that Sikhism is the fifth largest world religion, it is not referenced when discussing the other world religions. For example, many school textbooks have incorrect or no information on the faith."	Gurdwara Knowledge Base.docx		[]
Is there an official sikh greeting?	"The tenth Sikh Guru instructed Sikhs to greet each other with “Waheguru ji ka Khalsa, Waheguru ji ki Fateh” (“The Khalsa belongs to Waheguru (the Divine) and victory belongs to Waheguru”). Another common Sikh greeting is “Sat Sri Akal” (“Truth reigns eternal”)."	Gurdwara Knowledge Base.docx		[]
Is there a Sikh emblem or symbol? What is the historical significance of the khanda?	"The Ik Onkar and the Khanda are some of the symbols of the Sikhs. According to the Sikh scholar Kapur Singh, the Khanda first appeared around the eighteenth century.  \n\n“The Khanda is the symbol of the Sikhs, as the Cross is to Christians or the Star of David is to Jews. It reflects some of the fundamental concepts of Sikhism. The symbol derives its name from the double-edged sword (also called a Khanda) which appears at the center of the logo. This double-edged sword is a metaphor of divine knowledge, its sharp edges cleaving truth from falsehood. The circle around the Khanda is the chakar. The chakar being a circle without a beginning or end symbolizes the perfection of God who is eternal. The chakar is surrounded by two curved swords called kirpans. These two swords symbolize the twin concepts of meeri and peeri – temporal and spiritual authority introduced by Guru Hargobind. They emphasize the equal emphasis that a Sikh must place on spiritual aspirations as well as obligations to society.”"	Gurdwara Knowledge Base.docx		[]
Is there a particular sikh color? Saffron?	"There is no particular color for Sikhs or Sikhism. The Sikh flag, which is seen at almost every Gurdwara, is a bright orange/saffron color or dark blue. These represent traditional colors for Sikhs."	Gurdwara Knowledge Base.docx		[]
"Why do so many Sikhs have a common name, Singh or Kaur?"	"The tenth Sikh Guru, Guru Gobind Singh, created the unique identity of the Sikhs and also gave all Sikh men one last name – Singh and all Sikh women another – Kaur. The reason for doing so is strongly rooted in the culture of South Asia. In that time period’s caste-ridden society and even today, someone’s last/family name signifies their social status and caste. Guru Gobind Singh wanted to remove these barriers between people, and create an egalitarian society. The word Singh means Lion and the word Kaur denotes Princess."	Gurdwara Knowledge Base.docx		[]
Do some Sikhs keep their last (caste) name? Why?	"Many Sikh families have kept their family name, but have maintained Singh and Kaur as middle names."	Gurdwara Knowledge Base.docx		[]
Do Sikhs have any dietary restrictions? Can Sikhs eat meat?	"Sikh Gurus strongly forbade all rituals and superstitions. Sikhs are thus not allowed to eat any food prepared through a ritualistic process (e.g., Sikhs are not meant to eat Kosher or Halal). There is no mandate allowing or disallowing Sikhs to eat meat. Sikhs are also not supposed to drink alcohol or consume any other intoxicants."	Gurdwara Knowledge Base.docx		[]
Is there a Sikh ceremony of initiation?	"Yes. Initiated Sikhs are said to have joined the “Khalsa.” Joining the Khalsa is an important step in one’s life. You are pledging your commitment to this faith and agreeing to live your life as a Sikh. This means that you must wear the five articles of faith, and carry Singh or Kaur as your last name."	Gurdwara Knowledge Base.docx		[]
How old do you have to be to be initiated?	"There is no prescribed age at which a Sikh should be initiated and can choose to do so whenever he or she is ready. According to the Rehat Maryada, only those who understand the significance of the ceremony and carry its discipline with sincerity should be initiated. It is important that once you are initiated you are committed to that lifestyle."	Gurdwara Knowledge Base.docx		[]
why don’t Sikhs cut or shave their hair?	"The founders of the Sikh faith started the practice of keeping hair unshorn. Guru Gobind Singh, the tenth Sikh Guru, gave the Sikhs 5 articles of faith (including unshorn hair), which as a whole comprise the daily uniform of a Sikh. In other words, keeping your hair (kesh) and wearing a turban form an external identity for a Sikh."	Gurdwara Knowledge Base.docx		[]
How about people with cut hair who identify themselves as Sikh?	"All Sikhs are supposed to have uncut/untrimmed hair. But like in every religion, there are people who closely follow the religion and others who may not. Some people may cut their hair, but that does not exclude them from the Sikh community."	Gurdwara Knowledge Base.docx		[]
Do women shave?	"Sikhs are not supposed to cut hair from any part of their body. All Sikhs are thus supposed to have unshorn hair, and Sikh women are to maintain a separate identity and not shave."	Gurdwara Knowledge Base.docx		[]
Can a Sikh girl cut her hair?	"Sikhs are not supposed to cut hair from any part of their body. All Sikhs are thus supposed to have unshorn hair, and Sikh women are to maintain a separate identity and not shave."	Gurdwara Knowledge Base.docx		[]
Can I touch someone’s turban or hair?	"Do not touch someone’s turban or hair without asking, as it may make him/her uncomfortable."	Gurdwara Knowledge Base.docx		[]
What is under your turban?	Hair. Sikhs keep their hair unshorn and tie it in a bun or top knot on top of his/her head.	Gurdwara Knowledge Base.docx		[]
What does the color of the turban mean? Do all Sikhs wear the same color?	"Sikhs can wear any color or style of turban, and there are no significant colors. Some Sikhs wear very few colors and others have a broad color palette."	Gurdwara Knowledge Base.docx		[]
How can I tell the difference between Sikh turbans and other turbans?	"Ever Sikh ties his or her turban slightly differently. Remember that in Pakistan, 70% of the people you see wearing a turban will be Sikh. If you see someone wearing a turban and you are not sure if they are Sikh or not, ask them! The Sikh turban is thus an article of faith. People of many other cultures and religions wear turbans, but none are required to do so by their religion.  \n\nSikhs tie their turbans anew each day. Sikh turbans become a part of a Sikh’s body and are usually removed only in the privacy of the house."	Gurdwara Knowledge Base.docx		[]
Do women wear turbans?	"Just like Sikh men, Sikh women are not supposed to cut their hair. In the Rehat Maryada, it is explicitly written that Sikh men wear a turban. There is nothing explicitly written about women, except that the turban is optional. Traditionally, women have always covered their head, but we’ve seen in the last 50 years, that women have deviated from this. There are many reasons for this change: globalization, cultural trends, and a lack of clarity in the Rehat Maryada. For Sikh women who tie a turban, the turban is just as much a part of their body and identity as it is for Sikh men!"	Gurdwara Knowledge Base.docx		[]
Why do Sikhs wear a kirpan? What size kirpan does a Sikh carry?	A kirpan does not have a prescribed length. In most cases it is about 3-9 inches long. The kirpan serves as a reminder to fight against injustice and oppression. A Sikh understands that carrying a kirpan is a great responsibility. It is only intended to protect themselves or others.	Gurdwara Knowledge Base.docx		[]
Do kids in school carry a kirpan?	"Some Sikhs that are younger have made the choice to become initiated, and as such, do wear a kirpan. Oftentimes, school personnel are aware that the Sikh student wears a kirpan, and both parties have come to an understanding as to how the student may wear his/her kirpan."	Gurdwara Knowledge Base.docx		[]
Can I visit a gurdwara?	"Everyone is welcome at a Gurdwara regardless of their race, religion, color or class. If you are interested in visiting a Gurdwara, feel free to reach out to Sikhs you know or contact community@sikhcoalition.org for additional suggestions and ideas."	Gurdwara Knowledge Base.docx		[]
Do you have to be a Sikh to read the Guru Granth Sahib?	Anyone who wishes to can read the Guru Granth Sahib.	Gurdwara Knowledge Base.docx		[]
Do Sikhs have a Clergy? Do Sikhs have a Granthis or Gianis?	"No. Sikh gurus were very clear about each Sikh making her or his own journey and not depending on a clergy to show them the way. Sikhs do have Granthis or Gianis. These are people who have studied the Sikh scriptures extensively, and are available in the Gurdwaras as teachers. They often lead a congregation, but any members from the congregations – both men and women – can also perform the same ceremonies."	Gurdwara Knowledge Base.docx		[]
Can women execute duties in a gurdwara or congregation?	Women execute duties in a gurdwara. Sikhism does not delineate or define certain tasks to only men or only women. A woman can lead or take part in any service or ceremony just as a man would.	Gurdwara Knowledge Base.docx		[]
Why are men and women divided into separate sections while sitting in the gurdwara?	"Sikh Gurus always taught equality between men and women. In Sikh congregations, men and women are asked to sit side by side – women on one side of the Guru Granth Sahib, and men on the other. There are both practical and cultural reasons for this practice. Since everyone sits on the floor, often unintentionally touching the person next to them when there is a large congregation, having such interaction with the member of the opposite gender is frequently inappropriate in the cultural context in which Sikhism arose. However, in some smaller Gurdwaras, men and women may be seen sitting mixed in the congregation."	Gurdwara Knowledge Base.docx		[]
What is langar?	"The Sikh Gurus instituted the unique practice of Langar. Langar is food that is cooked by the members of the community and served by members of the community, to all people at the Gurdwara. All Gurdwaras have a common kitchen, where Langar is cooked by volunteers and open to all."	Gurdwara Knowledge Base.docx		[]
What is the Sikh wedding ceremony? What is Anand Karaj? What should I know about Sikh wedding?	"The Sikh marriage ceremony is called Anand Karaj. It is performed in the presence of the Guru Granth Sahib, the Sikh scripture. In a Sikh wedding, scripture is read from the Guru Granth Sahib, and after each section the couple walks around the Guru Granth Sahib, showing their commitment to the teachings being read. This is done four times. Following this, a communal prayer is said for the couple and religious hymns are sung. The ceremony may be performed by any initiated member of the Sikh faith. The prayers being read indicate that the couple pledge allegiance to each other as well as the Sikh way of life and make a commitment to working together to help each other realize the Divine Presence."	Gurdwara Knowledge Base.docx		[]
"Do you believe in an afterlife? Do you believe in heaven or hell, salvation?"	"Sikh focus is on this lifetime. The Sikh Scripture ask Sikhs to make the best of their time on this earth, for this is one’s opportunity to accomplish her or his best and to make a connection with Waheguru – the One, Omnipotent Power. Sikhs are asked not to partake in rituals and superstitions and not to concentrate on what occurred before birth or after death. Sikh scripture repudiates a belief in a physical place called Heaven or Hell. Similarly, Sikhism rejects the notion of a Judgment Day. Sikhs believe in the doctrine of karma, which is a cosmic law that takes into account a person’s good and bad actions during his or her lifetime. The person then is rewarded or must endure suffering based on his deeds. The Sikh scripture supports the idea of reincarnation."	Gurdwara Knowledge Base.docx		[]
How do Sikhs perform funerals?	"According to the Sikh Rehat, Sikhs may dispose the body of the dead in any way they like. Sikhs generally cremate their dead because it is clean, simple and environmentally friendly. The body is bathed and clothed in fresh clothes by family members, and community members say collective prayers. The ashes are usually gathered afterwards, and put afloat in a flowing body of water – returning the person’s last physical remains to nature."	Gurdwara Knowledge Base.docx		[]
What does Sikhism teach about other religions?	"The Sikh scripture, the Guru Granth Sahib, is the only major religious text which contains writings by teachers of other faiths. This is because Sikh gurus taught that there are many different ways of achieving a connection with the God. The Sikh way is one of these ways. If you are following the Sikh way, you must follow it to the best of your abilities, and with absolute devotion."	Gurdwara Knowledge Base.docx		[]
Does Sikhism try to convert others?	"Sikhism forbids proselytization or forced conversions. Sikhism believes that there are many paths to achieving attunement with the Divine. However, Sikhism welcomes those interested in learning about the religion. Thus, people might learn about Sikh faith and then even be initiated as Sikhs. There are Chinese Sikhs, African Sikhs etc. However, once someone is initiated as a Sikh, she or he must follow the Sikh path to the best of her or his ability."	Gurdwara Knowledge Base.docx		[]
How can I get information of the Gurdwara?	Ask me anything. I’ll try to answer you.	Gurdwara Knowledge Base.docx		[]
How often does the Singh Sabha gurdwara hold Kirtan Diwans?	Regular Kirtan Diwan is held on the first Saturday of every month. On special occasions additional programs are arranged.	Gurdwara Knowledge Base.docx		[]
What is the typical start and stop time of Gurdwara programs?	"The program begins with children and Sangat Kirtan from 11:00 to 11:30 AM; followed by Kirtan, Ardas, and Hukam Nama from 11:30 AM to 1:00 PM. Services are wrapped-up with Langar. Monthly details are posted at our website."	Gurdwara Knowledge Base.docx		[]
"How may I stay informed of the gurdwara activities, functions, and special occasions?"	A certain Gurdwara activity is informed to you if you have an active chat with me at the time of said gurdwara activity.	Gurdwara Knowledge Base.docx		[]
Can anyone attend the Kirtan Diwans?	Everyone can attend Kirtan Diwans! All are welcome. We do ask you to respect our rules of conduct and reverence during the services.	Gurdwara Knowledge Base.docx		[]
What are the practices (Maryada) that I need to observe during the services at gurdwara?	"Before entering the gurdwara hall, please remove your shoes, wash your hands and cover your head with a scarf (for those who do not wear a turban). Walk up to the Guru Granth Sahib (our holy scriptures), pay your respects, and sit down on the floor on the appropriate side of the hall."	Gurdwara Knowledge Base.docx		[]
I would like to do Sewa (service). Who should I contact?	"Sewa is one of the hallmarks of Sikhism. The members of the congregation perform preparation, conduct, and wrap up of the Kirtan Diwans. You may participate in any aspect of the preparation, conduct, and wrap-up of the services. Such as:\n\n*   Set-Up: Arrive at 10:30 AM and assist with the set-up of the hall.\n*   Langar Preparation: Contact Langar Coordinator to find out what item and how much of it can you bring to the gurdwara.  For more details go to the Langar page.\n*   Langar Serving: To help with the serving, go to the team in the kitchen. They will guide you.\n*   Wrap-Up: After the services you can help with the cleanup and restore the hall back to its original state."	Gurdwara Knowledge Base.docx		[]
Can I and my family sponsor the Kirtan Diwan?	You and your family can sponsor the Kirtan. The Ragis' fee for their services is $250 and we pay $50 for the church hall lease. More than one family can co-sponsor the Kirtan and share the expenses. All donations are tax-exempt. Additional responsibilities include help for the set-up and preparing breakfast for the invited Ragis.	Gurdwara Knowledge Base.docx		[]
How can I or my children learn Punjabi or Kirtan?	"At this time, we do not have a formal program. Contact Children's program coordinator for more details."	Gurdwara Knowledge Base.docx		[]
"How can I and my family learn more about Sikh history, practices, and Bani?"	"At this time, we use several methods to teach and learn Sikhi. During the Kirtan Diwan, Shabad and Gurujis' history ""katha"" is performed by the Ragis. The children learn by researching, preparing and presenting speeches for Gurpurabs. Finally, the children are invited to participate in the annual national competition held by the Shri Hemkunt Foundation."	Gurdwara Knowledge Base.docx		[]
How can I become a member of the Gurdwara Panja Sahib?	Contact the Secretary or the Treasurer to become a member. The annual membership fee is $10 per adult and $5 for a Senior Citizen. Students' membership is free.	Gurdwara Knowledge Base.docx		[]
Is there a gurdwara committee and can I serve on it?	"Gurdwara Panja Sahib is registered as a non-profit and tax-exempt entity in Hasan Abdal. It has a Charter and By-laws that identify Board of Trustees and Executive Committee (EC) positions. Please contact the Trustee, President, or any current member of the EC to communicate your interest. We will be delighted to have you on board!"	Gurdwara Knowledge Base.docx		[]
What are the Sikh articles of faith?	"Sikhs wear an external uniform to unify and bind them to the beliefs of the religion and to remind them of their commitment to the Sikh faith at all times. Unlike other faiths where only the clergy are in uniform, all Sikhs are enjoined to wear the uniform of their beliefs. These five articles of faith, along with a turban, distinguish a Sikh and have deep spiritual significance for Sikhs. The five articles of faith start with the “k” alphabet in Punjabi, and are thereby referred to as the 5 K’s. They are:\n\n*   Kesh (uncut hair)\n*   Kangha (comb)\n*   Kara (steel bracelet)\n*   Kirpan (sword)\n*   Kaccha (soldier’s shorts)"	Gurdwara Knowledge Base.docx		[]
Why don’t Sikhs cut or shave their hair?	"Guru Nanak, the founder of the Sikh faith, started the practice of keeping hair unshorn. Guru Gobind Singh, the tenth Sikh Guru, gave the Sikh nation articles of faith (including uncut hair), which as a whole comprise the daily uniform of a Sikh. Many Sikh scholars and theologians have interpreted meanings for each of the articles of faith; as many Sikhs have also reflected on the teachings of the Gurus and inferred their own reasons."	Gurdwara Knowledge Base.docx		[]
Why do Sikhs wear turbans?	"The turban is part of the uniform because it has immense spiritual and temporal significance. Wearing a turban declares sovereignty, dedication, self-respect, courage and piety. All practicing Sikhs wear the turban out of love and as a mark of commitment to the faith."	Gurdwara Knowledge Base.docx		[]
What is under the turban?	Sikhs keep their hair unshorn and tie them in a bun on top of their head. Sikhs tie turbans to cover this top knot.	Gurdwara Knowledge Base.docx		[]
Do women wear turbans?	"Just like Sikh men, Sikh women are not supposed to cut their hair. They are also required to cover their heads. Many Sikh women do so with a scarf. Others tie a turban. For Sikh women who tie a turban, the turban is just as much a part of their body and identity as it is for Sikh men! Culturally, many Sikh women do not cover their heads, but this is like in every religion—cultures and trends influence how closely people follow religion."	Gurdwara Knowledge Base.docx		[]
How is a Sikh turban different from an Arab turban?	"Sikhism is the only religion in the world which requires its followers to tie a turban. The Sikh turban is thus an article of faith. People of many other cultures and religions wear turbans, but none are required to do so by their religion. Arabs wear turbans, people in the Indian dessert state of Rajasthan wear turbans, Africans wear turbans—but none of these people are ‘required’ to wear their turbans.  \n\nSikh turbans may be of different colors, styles and types but are not hats. Sikhs tie their turbans anew each day. Asking a Sikh to take off his turban in say a fancy club or church is like asking a person to remove his pants. Sikh turbans become a part of a Sikh’s body and are usually removed only in the privacy of the house."	Gurdwara Knowledge Base.docx		[]
Do women shave?	"Sikhs are not supposed to cut hair from any part of their body. All Sikhs are thus supposed to have unshorn hair, and Sikh women are to maintain a separate identity and not shave. But, living in the present-day, many succumb to the societal pressure and do shave."	Gurdwara Knowledge Base.docx		[]
How about people with cut hair who identify themselves as Sikh?	"All Sikhs are supposed to have uncut/untrimmed hair. But like in every religion, there are people who closely follow the religion and others who stray due to different pressures.  \n\nSome people may cut their hair, but that does not exclude them from the Sikh community. However, the Sikh religion very clearly dictates that we are not supposed to cut or shave our hair."	Gurdwara Knowledge Base.docx		[]
What are kirpans?	"The Kirpan is a religious sword that encapsulates an initiated Sikh’s solemn obligation of courage and self-defense. It denotes dignity and self-reliance, the capacity and readiness to always defend the weak and the oppressed. It helps sustain one’s martial spirit and the determination to sacrifice oneself in order to defend truth, oppression and Sikh moral values. All Initiated Sikhs are mandated to wear a Kirpan on their body at all times."	Gurdwara Knowledge Base.docx		[]
What is that bracelet?	"The bracelet is a “Kara,” and is generally made out of steel. The Kara is one of the mandatory Sikh articles of faith, meant to be worn by a Sikh at all times."	Gurdwara Knowledge Base.docx		[]
What is the comb?	"Sikhs carry a small comb, called the Kanga. It can be worn easily in the hair at all times and is a symbol of cleanliness. Just as a comb helps to remove the tangles and cleans the hair, the Kanga is a spiritual reminder to shed impurities of thought."	Gurdwara Knowledge Base.docx		[]
What is the under shorts?	"A special, slightly longer type of shorts, the Kachha is linked to a high moral character and must be worn at all times. It reminds the Sikh of the need for self-restrain over passions and desires."	Gurdwara Knowledge Base.docx		[]
"Why do so many Sikhs have a common name, Singh or Kaur?"	"The tenth Sikh Guru, Guru Gobind Singh, created the unique identity of the Sikhs and also gave all Sikh men one last name – Singh – and all Sikh women another – Kaur. The reason for doing so is strongly rooted in the culture of South Asia. In that time period’s caste-ridden society and even today, someone’s last/family name signifies their social status and caste. Guru Gobind Singh wanted to remove these barriers between people, and create an egalitarian society. "	Gurdwara Knowledge Base.docx		[]
What does Singh mean?	"The word “Singh” means “Lion” and the word “Kaur” denotes “Princess.” Over time, many Sikh families have reverted to using their family name, but have maintained Singh and Kaur as middle names."	Gurdwara Knowledge Base.docx		[]
Is Sikhism a blend of Islam and Hinduism or a sect of Hinduism?	"It is only due to a shared geographic culture that some ideas or methods of these different religions may seem similar. Sikhism is in fact a unique revealed religion. It is not derived from any other religion. It is not a blend of any two or three religions. Guru Nanak started a new faith.  \n\nThe uniqueness of the Sikh faith is immediately apparent if you understand the main philosophies and practices of the Sikhs. In fact, Sikhism questions, challenges and rejects many of the practices of Hinduism and Islam. For example, according to Sikh teachings, all people are created equal regardless of gender, status, geographic location, and religion affiliation. Sikhs strive to achieve a balance between spiritual life and temporal life.  \n\nSikhism condemns empty rituals. Sikhs do not believe in pilgrimages, idolatry or reverence to pictures. Sikhs believe in practices such as daily prayer that instill understanding and discipline."	Gurdwara Knowledge Base.docx		[]
What does Sikhism teach about other religions?	"The Sikh scripture, the Guru Granth Sahib, is the only major religious text which contains writings by teachers of other faiths. This is because the Sikh Gurus taught that there are many different ways of achieving a connection with the God. The Sikh way is one of these ways. If you are following the Sikh way, you must follow it to the best of your abilities, and with absolute devotion."	Gurdwara Knowledge Base.docx		[]
Does Sikhism preach conversion?	"Sikhism forbids proselytization or forced conversions. Sikhism believes that there are many paths to God. That said, Sikhism welcomes anyone interested in learning about the religion. Thus, people might learn about Sikh faith and then even be baptized as Sikhs. There are Chinese Sikhs, African Sikhs etc. However, once someone is baptized and initiated as a Sikh, she or he must follow the Sikh path to the best of her or his ability."	Gurdwara Knowledge Base.docx		[]
"Do Sikhs believe in an afterlife? Do they believe in heaven/hell, salvation?"	"Sikhs’ focus is on this lifetime. The Sikh Scripture ask Sikhs to make the best of their time on this earth, for this is one’s opportunity to accomplish her or his best and to make a connection with Waheguru—the One, Omnipotent Power. Sikhs are asked not to partake in rituals and superstitions and not to concentrate on what occurred before birth or after death. Sikh scripture repudiates a belief in a physical place called Heaven or Hell. Similarly, Sikhism rejects the notion of a Judgment Day."	Gurdwara Knowledge Base.docx		[]
